sample_date,sample_year,site_id,crew,temp_c,ph,spec_cond,num_backpacks,effort1_seconds,effort2_seconds,effort3_seconds,voltz,frequency,duty_cycle,effort_min
2017-08-18,2017,LR03,"BM, CC, MK",20.5,8.4,231,1,3266,NA,NA,350,30,15,54.43333333333333
2017-08-19,2017,LR00,"BM, CC",15.5,7.94,47,1,2306,NA,NA,500,25,12,38.43333333333333
2017-08-22,2017,LR06,"BM, CC, BH and crew",19.9,8.16,671,1,1690,NA,NA,350,30,15,28.166666666666668
2017-08-22,2017,LR07,"BM, CC, BH and crew",20.2,8.33,713,2,1782,NA,NA,160,60,12,29.7
2017-08-24,2017,LR04,"BM, CC, FR",18,7.91,400,1,9432,NA,NA,250,40,12,157.2
2017-08-25,2017,LR05,"BM, CC, MK, RW",19,7.81,460,2,2930,NA,NA,200,50,12,48.833333333333336
2017-08-25,2017,SW01,"BM, CC",12.6,7.91,15,1,3642,NA,NA,530,30,12,60.7
2017-08-26,2017,SW02,"BM, CC",17.3,7.94,63,1,2949,NA,NA,450,30,12,49.15
2017-08-26,2017,SW03,"BM, CC",16.3,7.98,174,1,3150,NA,NA,350,30,12,52.5
2017-08-27,2017,SW04,"BM, CC, MK",15.3,8.12,470,1,3309,NA,NA,130,50,12,55.15
2017-08-31,2017,LR08,"BM, RW, MK, BH, ML, SF",20.9,8.51,815,3,2691,NA,NA,160,60,15,44.85
2017-09-07,2017,HC01,"BM, RW",20.9,8.6,374,1,3613,NA,NA,195,40,15,60.21666666666667
2017-09-08,2017,HC02,"BM, MK, FR",21,8.1,543,1,3819,NA,NA,180,60,15,63.65
2017-09-14,2017,HC00,"BM, MK, NB, BH",18.9,8.15,690,1,530,NA,NA,160,60,15,8.833333333333334
2018-08-07,2018,MB04,"BM, NB, MK, FR",21.7,8.39,1366,2,3142,3091,NA,160,60,12,52.36666666666667
2018-08-09,2018,MB03,"BM, NB, MK, FR",18.8,8.32,1297,2,NA,NA,NA,150,60,12,NA
2018-08-10,2018,MB01,"BM, NB",17.6,8.68,38,2,NA,NA,NA,600,30,12,NA
2018-08-10,2018,MB02,"BM, NB",17.8,8.43,59,1,NA,NA,NA,300,30,12,NA
2018-08-13,2018,LR00,"BM, RD, NB, EJ",11,8.55,51,2,NA,NA,NA,550,30,12,NA
2018-08-13,2018,LR04,"BM, NB, RD, EJ",23.8,8.41,687,2,NA,NA,NA,200,45,12,NA
2018-08-14,2018,LR02,"NB, RD, BM",18.8,8.65,271,2,NA,NA,NA,220,30,12,NA
2018-08-15,2018,LR03,"NB, BM",20.3,8.33,387,2,NA,NA,NA,220,30,12,NA
2018-08-15,2018,LR05,"BM, NB, RD, FR",22.4,8.43,350,2,NA,NA,NA,210,45,12,NA
2018-08-16,2018,LR08,CREW,25.5,8.55,829,3,NA,NA,NA,150,60,12,NA
2018-08-17,2018,LR06,"MK, BM, RD, RW, NB",22.8,3.32,738,2,NA,NA,NA,150,60,12,NA
2018-08-17,2018,LR07,"MK, BM, RD, RW, NB",22.8,8.63,736,2,NA,NA,NA,150,60,12,NA
