sample_id,sample_year,site_id,sample_hitch,sample_type,rep,area_cm2,vol_filtered_ml,dry_mass_g,ash_mass_g
afdm_049,2016,MB01,H2,biofilm,1,56,NA,0.0649,0.0528
afdm_051,2016,MB02,H2,biofilm,1,45,NA,0.0691,0.0473
afdm_053,2016,MB03,H2,biofilm,1,47,NA,0.1118,0.0891
afdm_055,2016,MB04,H2,biofilm,1,50,NA,0.1164,0.0791
afdm_057,2016,SW01,H2,biofilm,1,47,NA,0.1454,0.1339
afdm_059,2016,SW02,H2,biofilm,1,49,NA,0.0733,0.0592
afdm_061,2016,SW03,H2,biofilm,1,54,NA,0.0983,0.0759
afdm_063,2016,SW04,H2,biofilm,1,46,NA,0.0949,0.0649
afdm_065,2016,LR00,H3,biofilm,1,62,NA,0.1338,0.1268
afdm_067,2016,LR02,H3,biofilm,1,63,NA,0.1437,0.1282
afdm_069,2016,LR03,H3,biofilm,1,85,NA,0.1312,0.1082
afdm_071,2016,LR04,H3,biofilm,1,79,NA,0.1343,0.1093
afdm_073,2016,LR05,H3,biofilm,1,77,NA,0.1282,0.1012
afdm_075,2016,LR06,H3,biofilm,1,91,NA,0.1348,0.0975
afdm_077,2016,LR07,H3,biofilm,1,57,NA,0.1292,0.0982
afdm_079,2016,LR08,H3,biofilm,1,55,NA,0.1358,0.1075
afdm_081,2016,MB01,H3,biofilm,1,52,NA,0.1219,0.1201
afdm_083,2016,MB02,H3,biofilm,1,55,NA,0.1493,0.1373
afdm_085,2016,MB03,H3,biofilm,1,65,NA,0.1378,0.1208
afdm_087,2016,MB04,H3,biofilm,1,55,NA,0.147,0.12
afdm_089,2016,SW01,H3,biofilm,1,45,NA,0.1393,0.1373
afdm_091,2016,SW02,H3,biofilm,1,46,NA,0.1304,0.1254
afdm_093,2016,SW03,H3,biofilm,1,56,NA,0.1234,0.1114
afdm_095,2016,SW04,H3,biofilm,1,61,NA,0.1464,0.1255
afdm_097,2017,LR00,H1,biofilm,1,53,NA,,
afdm_099,2017,LR02,H1,biofilm,1,54,NA,,
afdm_101,2017,LR03,H1,biofilm,1,42,NA,,
afdm_103,2017,LR04,H1,biofilm,1,52,NA,,
afdm_105,2017,LR05,H1,biofilm,1,50,NA,,
afdm_107,2017,LR06,H1,biofilm,1,62,NA,,
afdm_109,2017,LR07,H1,biofilm,1,45,NA,,
afdm_111,2017,LR08,H1,biofilm,1,75,NA,,
afdm_113,2017,SW01,H1,biofilm,1,42,NA,,
afdm_115,2017,SW02,H1,biofilm,1,62,NA,,
afdm_117,2017,SW03,H1,biofilm,1,75,NA,,
afdm_119,2017,SW04,H1,biofilm,1,64,NA,,
afdm_121,2017,LR00,H2,biofilm,1,63,NA,,
afdm_123,2017,LR02,H2,biofilm,1,46,NA,,
afdm_125,2017,LR03,H2,biofilm,1,47,NA,,
afdm_127,2017,LR04,H2,biofilm,1,75,NA,,
afdm_129,2017,LR05,H2,biofilm,1,76,NA,,
afdm_131,2017,LR06,H2,biofilm,1,43,NA,,
afdm_133,2017,LR07,H2,biofilm,1,68,NA,,
afdm_135,2017,LR08,H2,biofilm,1,57,NA,,
afdm_137,2017,SW01,H2,biofilm,1,80,NA,,
afdm_139,2017,SW02,H2,biofilm,1,71,NA,,
afdm_141,2017,SW03,H2,biofilm,1,55,NA,,
afdm_143,2017,SW04,H2,biofilm,1,54,NA,,
afdm_145,2017,LR00,H3,biofilm,1,47,NA,,
afdm_147,2017,LR02,H3,biofilm,1,55,NA,,
afdm_149,2017,LR03,H3,biofilm,1,78,NA,,
afdm_151,2017,LR04,H3,biofilm,1,69,NA,,
afdm_153,2017,LR05,H3,biofilm,1,53,NA,,
afdm_155,2017,LR06,H3,biofilm,1,50,NA,,
afdm_157,2017,LR07,H3,biofilm,1,71,NA,,
afdm_159,2017,LR08,H3,biofilm,1,78,NA,,
afdm_161,2017,SW01,H3,biofilm,1,62,NA,,
afdm_163,2017,SW02,H3,biofilm,1,52,NA,,
afdm_165,2017,SW03,H3,biofilm,1,73,NA,,
afdm_167,2017,SW04,H3,biofilm,1,44,NA,,
afdm_169,2016,LR00,H1,fbom,1,NA,50,0.1454,0.1363
afdm_171,2016,LR02,H1,fbom,1,NA,50,0.1341,0.1241
afdm_173,2016,LR03,H1,fbom,1,NA,50,0.1422,0.1292
afdm_175,2016,LR04,H1,fbom,1,NA,50,0.1511,0.1198
afdm_177,2016,LR05,H1,fbom,1,NA,50,0.1157,0.0917
afdm_179,2016,LR06,H1,fbom,1,NA,50,0.1281,0.0989
afdm_181,2016,LR07,H1,fbom,1,NA,50,0.1235,0.0951
afdm_183,2016,LR08,H1,fbom,1,NA,50,0.1159,0.083
afdm_185,2016,MB01,H1,fbom,1,NA,50,0.1261,0.1171
afdm_187,2016,MB02,H1,fbom,1,NA,50,0.1315,0.1215
afdm_189,2016,MB03,H1,fbom,1,NA,50,0.1275,0.1135
afdm_191,2016,MB04,H1,fbom,1,NA,50,0.1564,0.1364
afdm_193,2016,SW01,H1,fbom,1,NA,50,0.1273,0.1233
afdm_195,2016,SW02,H1,fbom,1,NA,50,0.1563,0.1503
afdm_197,2016,SW03,H1,fbom,1,NA,50,0.1226,0.1136
afdm_199,2016,SW04,H1,fbom,1,NA,50,0.1433,0.1243
afdm_201,2016,LR00,H2,fbom,1,NA,50,0.1229,0.1105
afdm_203,2016,LR02,H2,fbom,1,NA,50,0.186,0.1685
afdm_205,2016,LR03,H2,fbom,1,NA,50,0.1337,0.1191
afdm_207,2016,LR04,H2,fbom,1,NA,50,0.1123,0.0741
afdm_209,2016,LR05,H2,fbom,1,NA,50,0.1709,0.1338
afdm_211,2016,LR06,H2,fbom,1,NA,50,0.1583,0.1143
afdm_213,2016,LR07,H2,fbom,1,NA,50,0.1138,0.0758
afdm_215,2016,LR08,H2,fbom,1,NA,50,0.1226,0.0734
afdm_217,2016,MB01,H2,fbom,1,NA,50,0.1312,0.1225
afdm_219,2016,MB02,H2,fbom,1,NA,50,0.1609,0.1474
afdm_221,2016,MB03,H2,fbom,1,NA,50,0.1726,0.1522
afdm_223,2016,MB04,H2,fbom,1,NA,50,0.1594,0.1276
afdm_225,2016,SW01,H2,fbom,1,NA,50,0.1721,0.1663
afdm_227,2016,SW02,H2,fbom,1,NA,50,0.1868,0.1788
